Seconds,Latitude,Longitude,Elevation,Data
2022-09-22T09:31:24.708989Z,51.539345787,-0.147690397,91242.9,4285.584158415842
2022-09-22T09:31:25.708989Z,51.539339058,-0.147684367,91154.5,4300.0
2022-09-22T09:31:26.708989Z,51.539333588,-0.147676771,90874.9,4299.6732673267325
2022-09-22T09:31:27.708989Z,51.539328287,-0.147670442,91102.5,4297.0
2022-09-22T09:31:28.708989Z,51.539325327,-0.147663543,90926.4,4297.514851485149
2022-09-22T09:31:29.708989Z,51.539323175,-0.147649532,90761.4,4301.0
2022-09-22T09:31:30.708989Z,51.53932247,-0.147631129,91016.3,4302.663366336634
2022-09-22T09:31:31.708989Z,51.539325193,-0.147613316,90833.1,4313.0
2022-09-22T09:31:32.708989Z,51.539327346,-0.147595296,90981.0,4314.425742574257
2022-09-22T09:31:33.708989Z,51.539329332,-0.147575335,91073.1,4322.0
2022-09-22T09:31:34.708989Z,51.539330378,-0.147553892,91331.0,4324.019801980198
2022-09-22T09:31:35.708989Z,51.539329162,-0.147533502,91524.1,4334.0
2022-09-22T09:31:36.708989Z,51.539325307,-0.14751396,91762.3,4334.0
2022-09-22T09:31:37.708989Z,51.539319689,-0.147498557,91801.5,4343.66
2022-09-22T09:31:38.708989Z,51.53931227,-0.147487825,91915.0,4348.0
2022-09-22T09:31:39.708989Z,51.539304089,-0.14747922,92098.2,4359.247524752475
2022-09-22T09:31:40.708989Z,51.539295281,-0.147470793,92457.7,4364.0
2022-09-22T09:31:41.708989Z,51.539289772,-0.147460614,92388.0,4368.990099009901
2022-09-22T09:31:42.708989Z,51.539291532,-0.147444984,91150.3,4371.0
2022-09-22T09:31:43.708989Z,51.539288009,-0.147432487,90561.5,4381.257425742574
2022-09-22T09:31:44.708989Z,51.539283271,-0.147420353,90416.6,4385.0
2022-09-22T09:31:45.708989Z,51.539279404,-0.147406966,90015.0,4398.235294117647
2022-09-22T09:31:46.708989Z,51.53927717,-0.147393572,89561.7,4403.0
2022-09-22T09:31:47.708989Z,51.539275268,-0.147381477,89178.3,4409.93
2022-09-22T09:31:48.708989Z,51.539276131,-0.147366951,89488.3,4412.0
2022-09-22T09:31:49.708989Z,51.5392766,-0.147351682,89045.4,4417.40594059406
2022-09-22T09:31:50.708989Z,51.539277786,-0.147336802,88648.9,4419.0
2022-09-22T09:31:51.708989Z,51.539278355,-0.147322947,88534.9,4421.970297029703
2022-09-22T09:31:52.708989Z,51.539279158,-0.147308035,88305.7,4429.0
2022-09-22T09:31:53.708989Z,51.539279587,-0.147292667,87822.8,4431.534653465346
2022-09-22T09:31:54.708989Z,51.53927803,-0.147277435,87566.4,4437.0
2022-09-22T09:31:55.708989Z,51.539277394,-0.14726151,87489.9,4439.6138613861385
2022-09-22T09:31:56.708989Z,51.539276394,-0.147243912,87406.0,4445.0
2022-09-22T09:31:57.708989Z,51.539274776,-0.147226869,87455.2,4449.504950495049
2022-09-22T09:31:58.708989Z,51.539274019,-0.147210241,87306.0,4458.0
2022-09-22T09:31:59.708989Z,51.539277049,-0.147191324,87724.4,4461.564356435643
2022-09-22T09:32:00.708989Z,51.539277543,-0.147173851,87776.4,4468.0
2022-09-22T09:32:01.708989Z,51.539273161,-0.147157764,87175.6,4471.762376237623
