Seconds,Latitude,Longitude,Elevation,Data
2022-09-22T09:43:56.708989Z,51.540529204,-0.148500296,82015.2,2145.3267326732675
2022-09-22T09:43:57.708989Z,51.540523177,-0.148488307,82192.7,2145.0
2022-09-22T09:43:58.708989Z,51.540518711,-0.148476342,82161.9,2145.0
2022-09-22T09:43:59.708989Z,51.540517287,-0.148458498,82622.8,2145.0
2022-09-22T09:44:00.708989Z,51.540514761,-0.148444258,83433.4,2144.3069306930693
2022-09-22T09:44:01.708989Z,51.540513224,-0.148439531,83716.8,2144.0
2022-09-22T09:44:02.708989Z,51.540514331,-0.148441925,83353.8,2147.6
2022-09-22T09:44:03.708989Z,51.540512389,-0.148457286,83456.1,2149.0
2022-09-22T09:44:04.708989Z,51.540514047,-0.148470283,83631.8,2146.831683168317
2022-09-22T09:44:05.708989Z,51.540515915,-0.148477234,83511.8,2146.0
2022-09-22T09:44:06.708989Z,51.540516149,-0.148489155,83707.4,2146.7425742574255
2022-09-22T09:44:07.708989Z,51.540514079,-0.148501657,83264.6,2149.0
2022-09-22T09:44:08.708989Z,51.540511356,-0.148513881,82966.6,2149.772277227723
2022-09-22T09:44:09.708989Z,51.540510597,-0.148521056,81724.7,2152.0
2022-09-22T09:44:10.708989Z,51.540508431,-0.148524663,81704.0,2152.0
2022-09-22T09:44:11.708989Z,51.540516123,-0.148516172,81038.4,2152.0
2022-09-22T09:44:12.708989Z,51.540520025,-0.14851111,81052.0,2152.2871287128714
2022-09-22T09:44:13.708989Z,51.540521091,-0.148501547,81356.1,2153.0
2022-09-22T09:44:14.708989Z,51.540520748,-0.148494284,82061.8,2150.920792079208
2022-09-22T09:44:15.708989Z,51.540519686,-0.148484844,81992.8,2146.0
2022-09-22T09:44:16.708989Z,51.540512299,-0.148477605,81989.0,2142.19801980198
2022-09-22T09:44:17.708989Z,51.540510258,-0.148467818,82010.1,2134.0
2022-09-22T09:44:18.708989Z,51.540511514,-0.148450493,81859.6,2134.0
2022-09-22T09:44:19.708989Z,51.540510597,-0.148439701,82250.9,2134.0
2022-09-22T09:44:20.708989Z,51.540510929,-0.148431347,82542.4,2134.0
2022-09-22T09:44:21.708989Z,51.540512541,-0.148418629,82829.3,2134.0
2022-09-22T09:44:22.708989Z,51.540515266,-0.14840246,82698.8,2134.0
2022-09-22T09:44:23.708989Z,51.540517007,-0.148387042,82832.5,2134.0
2022-09-22T09:44:24.708989Z,51.540518273,-0.148371253,83118.0,2134.0
2022-09-22T09:44:25.708989Z,51.540518859,-0.148356195,83021.7,2134.8811881188117
2022-09-22T09:44:26.708989Z,51.540519685,-0.148343394,82716.6,2135.0
2022-09-22T09:44:27.708989Z,51.540520478,-0.148332332,83013.0,2134.09900990099
2022-09-22T09:44:28.708989Z,51.540521773,-0.148324342,83304.9,2134.0
2022-09-22T09:44:29.708989Z,51.54052452,-0.148317204,83364.8,2136.732673267327
2022-09-22T09:44:30.708989Z,51.540524184,-0.148311641,83254.7,2137.0
2022-09-22T09:44:31.708989Z,51.540523063,-0.148308103,83251.9,2135.138613861386
2022-09-22T09:44:32.708989Z,51.540521557,-0.1483042,83158.8,2135.0
2022-09-22T09:44:33.708989Z,51.540519815,-0.148292669,83222.5,2128.3465346534654
2022-09-22T09:44:34.708989Z,51.540517256,-0.148279307,83449.8,2128.0
2022-09-22T09:44:35.708989Z,51.54051441,-0.148264162,83497.8,2126.5742574257424
2022-09-22T09:44:36.708989Z,51.540509591,-0.148247439,83564.6,2125.0
2022-09-22T09:44:37.708989Z,51.540504226,-0.148229327,83833.7,2124.52
2022-09-22T09:44:38.708989Z,51.54049835,-0.148213203,83957.6,2124.0
2022-09-22T09:44:39.708989Z,51.540490351,-0.148197808,84205.5,2119.0
2022-09-22T09:44:40.708989Z,51.540482589,-0.148183054,84235.0,2114.0
2022-09-22T09:44:41.708989Z,51.540474158,-0.148171599,84154.6,2117.089108910891
2022-09-22T09:44:42.708989Z,51.54046531,-0.148159825,83972.4,2120.0
2022-09-22T09:44:43.708989Z,51.540455956,-0.148149541,83967.2,2120.0
2022-09-22T09:44:44.708989Z,51.540444526,-0.148141113,84028.8,2120.0
2022-09-22T09:44:45.708989Z,51.540433309,-0.148133447,84143.2,2120.0
2022-09-22T09:44:46.708989Z,51.54042236,-0.148125457,84323.6,2120.0
2022-09-22T09:44:47.708989Z,51.540410379,-0.148116676,84490.4,2118.3366336633662
2022-09-22T09:44:48.708989Z,51.540398413,-0.148107876,84606.7,2117.0
2022-09-22T09:44:49.708989Z,51.540386151,-0.148098685,84750.5,2116.79
2022-09-22T09:44:50.708989Z,51.540375106,-0.148088721,85092.7,2114.0
2022-09-22T09:44:51.708989Z,51.540363514,-0.148078664,85312.3,2114.267326732673
2022-09-22T09:44:52.708989Z,51.540350993,-0.148070145,85445.1,2117.0
2022-09-22T09:44:53.708989Z,51.540340106,-0.148061878,85673.6,2117.108910891089
2022-09-22T09:44:54.708989Z,51.540329142,-0.148052914,85662.2,2118.0
2022-09-22T09:44:55.708989Z,51.540317334,-0.14804803,85807.1,2117.168316831683
2022-09-22T09:44:56.708989Z,51.540305523,-0.148040934,85889.6,2111.0
2022-09-22T09:44:57.708989Z,51.540295651,-0.14803288,85937.4,2109.6138613861385
2022-09-22T09:44:58.708989Z,51.540283066,-0.148026056,86279.8,2101.0
2022-09-22T09:44:59.708989Z,51.540270778,-0.148017551,86365.9,2100.8514851485147
2022-09-22T09:45:00.708989Z,51.540259988,-0.148004458,86318.7,2100.0
2022-09-22T09:45:01.708989Z,51.540248899,-0.147993716,86359.9,2099.831683168317
2022-09-22T09:45:02.708989Z,51.540239611,-0.147981147,86349.1,2099.0
2022-09-22T09:45:03.708989Z,51.540227958,-0.147972972,86283.2,2098.158415841584
2022-09-22T09:45:04.708989Z,51.540216003,-0.147965407,86604.0,2094.0
2022-09-22T09:45:05.708989Z,51.540205134,-0.147956549,86591.3,2094.0
2022-09-22T09:45:06.708989Z,51.540194798,-0.147945702,86447.1,2094.0
2022-09-22T09:45:07.708989Z,51.540182707,-0.147937522,86347.4,2094.0
2022-09-22T09:45:08.708989Z,51.540169841,-0.14793194,86570.7,2094.0
2022-09-22T09:45:09.708989Z,51.540157229,-0.147928815,86836.7,2094.0
